Date,Open,High,Low,Close,Adj Close,Volume
2016-02-15,105.099998,108.449997,105.099998,106.000000,97.910637,1091675
2016-02-16,107.699997,108.900002,102.199997,102.650002,94.816307,1341261
2016-02-17,103.000000,104.599998,101.099998,104.000000,96.063271,1268061
2016-02-18,105.400002,106.500000,102.500000,104.550003,96.571312,1429030
2016-02-19,105.000000,108.199997,104.250000,107.300003,99.111450,1340622
2016-02-22,107.300003,109.849998,107.000000,109.099998,100.774063,1151733
2016-02-23,109.000000,109.500000,105.099998,106.650002,98.511055,1037357
2016-02-24,106.199997,108.300003,105.000000,106.699997,98.557228,758132
2016-02-25,107.800003,108.050003,102.500000,106.199997,98.095375,9364686
2016-02-26,107.949997,108.500000,103.800003,104.750000,96.756042,2381968
2016-02-29,105.000000,107.099998,101.599998,103.550003,95.647621,1639500
2016-03-01,104.199997,109.500000,104.199997,108.900002,100.589333,1481271
2016-03-02,110.000000,112.750000,109.449997,109.900002,101.513023,1220668
2016-03-03,110.500000,111.250000,107.949997,109.500000,101.143547,1260507
2016-03-04,110.000000,113.900002,109.150002,113.250000,104.607368,1377634
2016-03-08,114.300003,116.400002,113.099998,115.650002,106.824211,1677380
2016-03-09,115.650002,117.500000,114.550003,116.849998,107.932632,1555016
2016-03-10,117.800003,118.099998,115.400002,116.449997,107.563156,1177827
2016-03-11,116.550003,117.599998,115.050003,115.849998,107.008949,1170769
2016-03-14,116.050003,117.349998,113.900002,115.650002,106.824211,1609295
2016-03-15,116.000000,116.400002,115.000000,115.449997,106.639473,1082982
2016-03-16,115.699997,116.099998,114.099998,115.099998,106.316177,964165
2016-03-17,116.000000,116.949997,115.000000,115.800003,106.962761,1396728
2016-03-18,116.500000,119.650002,115.949997,118.900002,109.826187,2062464
2016-03-21,119.199997,120.900002,118.750000,119.900002,110.749878,839802
2016-03-22,121.050003,123.300003,120.449997,121.400002,112.135406,1469400
2016-03-23,121.599998,122.150002,118.650002,119.449997,110.334221,1230385
2016-03-28,120.000000,121.000000,118.500000,119.400002,110.288040,1382616
2016-03-29,119.099998,120.400002,118.400002,119.300003,110.195663,3588313
